id,name,party,partyLabel,votes
Q55003337,Janet Daby,Q9630,Labour Party (UK),11033
,Lucy Salek,Q9624,Liberal Democrats (UK),5404
,Ross Archer,Q9626,Conservative Party (UK),3161
,Rosamund Adoo-Kissi-Debrah,Q9669,Green Party of England and Wales,788
Q85309372,Mandu Reid,Q20648714,Women's Equality Party,506
Q24039484,David Kurten,Q10647,UK Independence Party,380
Q24572145,Anne Marie Waters,Q42530925,For Britain,266
,Maureen Martin,Q5110023,Christian Peoples Alliance,168
Q5922334,Howling Laud Hope,Q1421227,Official Monster Raving Loony Party,93
,Massimo DiMambro,Q48816257,Democrats and Veterans,67
,Sean Finch,Q3997368,Libertarian Party (UK),38
,Charles Edward Carey,Q327591,Independent politician,37
,Patrick Gray,Q1687668,Radicals (UK),20
,Thomas Hall,Q19604654,Young People's Party UK,18
